id,first_name,second_name,team_name,team_short,position,now_cost,total_points,selected_by_percent,form,minutes
641,Alfie,Pond,Wolves,WOL,Defender,40,1,2.2,0.0,1
642,Hwang,Hee-chan,Wolves,WOL,Midfielder,60,37,0.2,0.0,646
643,André,Trindade da Costa Neto,Wolves,WOL,Midfielder,55,61,0.1,0.0,2472
644,Jean-Ricner,Bellegarde,Wolves,WOL,Midfielder,55,90,0.1,0.0,1666
645,Fer,López González,Wolves,WOL,Midfielder,55,0,0.1,0.0,0
646,João Victor,Gomes da Silva,Wolves,WOL,Midfielder,55,87,0.1,0.0,2975
647,Gonçalo Manuel,Ganchinho Guedes,Wolves,WOL,Midfielder,55,62,0.1,0.0,979
648,Marshall,Munetsi,Wolves,WOL,Midfielder,55,50,0.1,0.0,1077
649,Boubacar,Traoré,Wolves,WOL,Midfielder,50,1,0.0,0.0,1
650,Tawanda,Chirewa,Wolves,WOL,Midfielder,45,0,0.3,0.0,0
651,Tom,Edozie,Wolves,WOL,Midfielder,45,0,0.4,0.0,0
652,Enso,González Medina,Wolves,WOL,Midfielder,45,0,1.3,0.0,0
653,Joe,Hodge,Wolves,WOL,Midfielder,45,0,0.5,0.0,0
654,Jørgen,Strand Larsen,Wolves,WOL,Forward,65,145,5.9,0.0,2587
655,Fábio,Soares Silva,Wolves,WOL,Forward,50,0,0.7,0.0,0
656,Saša,Kalajdžić,Wolves,WOL,Forward,50,0,0.2,0.0,0
657,Leon,Chiwome,Wolves,WOL,Forward,45,0,0.1,0.0,0
658,Nathan,Fraser,Wolves,WOL,Forward,45,0,2.7,0.0,0
663,Jhon,Arias,Wolves,WOL,Midfielder,55,0,1.0,0.0,0
