id,first_name,second_name,team_name,team_short,position,now_cost,total_points,selected_by_percent,form,minutes
120,Kevin,Schade,Brentford,BRE,Midfielder,70,149,2.0,0.0,2281
121,Mikkel,Damsgaard,Brentford,BRE,Midfielder,60,131,1.3,0.0,2911
122,Antoni,Milambo,Brentford,BRE,Midfielder,55,0,0.1,0.0,0
123,Fábio,Freitas Gouveia Carvalho,Brentford,BRE,Midfielder,50,35,0.3,0.0,443
124,Jordan,Henderson,Brentford,BRE,Midfielder,50,0,0.4,0.0,0
125,Vitaly,Janelt,Brentford,BRE,Midfielder,50,73,0.2,0.0,2251
126,Mathias,Jensen,Brentford,BRE,Midfielder,50,38,0.1,0.0,846
127,Gustavo,Nunes Fernandes Gomes,Brentford,BRE,Midfielder,50,3,0.1,0.0,11
128,Frank,Onyeka,Brentford,BRE,Midfielder,50,2,0.1,0.0,23
129,Yehor,Yarmoliuk,Brentford,BRE,Midfielder,50,43,0.1,0.0,1435
130,Romelle,Donovan,Brentford,BRE,Midfielder,45,0,0.1,0.0,0
131,Yunus Emre,Konak,Brentford,BRE,Midfielder,45,10,0.2,0.0,53
132,Paris,Maghoma,Brentford,BRE,Midfielder,45,8,0.1,0.0,112
133,Myles,Peart-Harris,Brentford,BRE,Midfielder,45,0,0.0,0.0,0
134,Ryan,Trevitt,Brentford,BRE,Midfielder,45,1,0.1,0.0,3
135,Yoane,Wissa,Brentford,BRE,Forward,75,185,7.4,0.0,2921
136,Igor Thiago,Nascimento Rodrigues,Brentford,BRE,Forward,60,9,0.9,0.0,167
137,Iwan,Morgan,Brentford,BRE,Forward,45,0,0.6,0.0,0
138,Jason,Steele,Brighton,BHA,Goalkeeper,45,9,0.4,0.0,180
139,Bart,Verbruggen,Brighton,BHA,Goalkeeper,45,103,7.0,0.0,3240
140,Tom,McGill,Brighton,BHA,Goalkeeper,40,0,0.3,0.0,0
141,Carl,Rushworth,Brighton,BHA,Goalkeeper,40,0,0.0,0.0,0
142,Kjell,Scherpen,Brighton,BHA,Goalkeeper,40,0,0.0,0.0,0
143,Olivier,Boscagli,Brighton,BHA,Defender,45,0,0.2,0.0,0
144,Diego,Coppola,Brighton,BHA,Defender,45,0,0.1,0.0,0
145,Maxim,De Cuyper,Brighton,BHA,Defender,45,0,8.9,0.0,0
146,Lewis,Dunk,Brighton,BHA,Defender,45,44,1.0,0.0,2081
147,Pervis,Estupiñán Tenorio,Brighton,BHA,Defender,45,63,0.3,0.0,2399
148,Ferdi,Kadıoğlu,Brighton,BHA,Defender,45,19,0.3,0.0,385
149,Igor Julio,dos Santos de Paulo,Brighton,BHA,Defender,45,18,0.1,0.0,959
150,Tariq,Lamptey,Brighton,BHA,Defender,45,42,0.4,0.0,856
151,Jan Paul,van Hecke,Brighton,BHA,Defender,45,87,1.2,0.0,2960
152,Joël,Veltman,Brighton,BHA,Defender,45,59,0.3,0.0,1694
153,Adam,Webster,Brighton,BHA,Defender,45,39,0.1,0.0,885
154,Eiran,Cashin,Brighton,BHA,Defender,40,1,0.1,0.0,19
155,Jacob,Slater,Brighton,BHA,Defender,40,0,0.2,0.0,0
156,Charlie,Tasker,Brighton,BHA,Defender,40,0,0.2,0.0,0
157,Mitoma,Kaoru,Brighton,BHA,Midfielder,65,145,5.9,0.0,2597
158,Georginio,Rutter,Brighton,BHA,Midfielder,60,95,0.5,0.0,1651
159,Solly,March,Brighton,BHA,Midfielder,60,7,0.1,0.0,161
160,Yankuba,Minteh,Brighton,BHA,Midfielder,60,102,1.1,0.0,1831
161,Julio,Enciso Espínola,Brighton,BHA,Midfielder,55,59,0.2,0.0,1155
162,Brajan,Gruda,Brighton,BHA,Midfielder,55,45,0.1,0.0,676
163,Jack,Hinshelwood,Brighton,BHA,Midfielder,55,89,0.2,0.0,1839
164,Matt,O'Riley,Brighton,BHA,Midfielder,55,50,0.2,0.0,929
165,Abdallah,Sima,Brighton,BHA,Midfielder,55,0,0.0,0.0,0
166,Yasin,Ayari,Brighton,BHA,Midfielder,50,74,0.2,0.0,1958
167,Carlos,Baleba,Brighton,BHA,Midfielder,50,87,4.6,0.0,2660
168,Facundo,Buonanotte,Brighton,BHA,Midfielder,50,75,0.3,0.0,1508
169,Diego,Gómez Amarilla,Brighton,BHA,Midfielder,50,30,0.1,0.0,507
170,James,Milner,Brighton,BHA,Midfielder,50,6,0.1,0.0,170
171,Jeremy,Sarmiento Morante,Brighton,BHA,Midfielder,50,1,0.1,0.0,8
172,Tom,Watson,Brighton,BHA,Midfielder,50,0,0.1,0.0,0
173,Mats,Wieffer,Brighton,BHA,Midfielder,50,52,0.1,0.0,1003
174,Malick,Yalcouyé,Brighton,BHA,Midfielder,50,0,0.1,0.0,0
175,Joe,Knight,Brighton,BHA,Midfielder,45,0,0.1,0.0,0
176,Adrian,Mazilu,Brighton,BHA,Midfielder,45,0,0.1,0.0,0
177,Andrew,Moran,Brighton,BHA,Midfielder,45,0,0.1,0.0,0
178,Danny,Welbeck,Brighton,BHA,Forward,65,125,7.9,0.0,2109
179,Evan,Ferguson,Brighton,BHA,Forward,55,28,0.2,0.0,385
180,Stefanos,Tzimas,Brighton,BHA,Forward,55,0,0.1,0.0,0
181,Charalampos,Kostoulas,Brighton,BHA,Forward,50,0,0.7,0.0,0
