element_id,web_name,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,points_per_game,expected_points_next_4gw,expected_points_per_gw,recent_form_last5,next_fixture_difficulty,next_home_ratio,upcoming_fixtures,injury_status,injury_severity,expected_return,cost_per_million,expected_points_per_million,value_score
666,Viktor Gyökeres,Viktor,Gyökeres,Arsenal,Forward,90,24.0,0.0,0,0.0,4.080556,1.020139,7.56,3.25,0.5,4,available,none,,9.0,0.45339510175916886,45.339510175916885
64,Ollie Watkins,Ollie,Watkins,Aston Villa,Forward,90,12.8,0.0,186,4.894736842105263,4.064903,1.0162257,7.198181052631579,3.0,0.5,4,available,none,,9.0,0.45165586471557617,45.16558647155762
624,Jarrod Bowen,Jarrod,Bowen,West Ham,Forward,80,18.6,0.0,193,5.078947368421052,3.9433093,0.9858273,7.704421052631578,3.0,0.5,0,available,none,,8.0,0.4929136633872986,49.29136633872986
661,Hugo Ekitiké,Hugo,Ekitiké,Liverpool,Forward,85,4.7,0.0,0,0.0,3.8691885,0.96729714,3.332,3.0,0.5,0,available,none,,8.5,0.455198652604047,45.5198652604047
582,Mohammed Kudus,Mohammed,Kudus,Spurs,Midfielder,65,26.7,0.0,106,2.789473684210526,3.164928,0.791232,4.098421052631578,3.0,0.5,0,available,none,,6.5,0.486911993760329,48.6911993760329
417,Rayan Cherki,Rayan,Cherki,Man City,Midfielder,65,9.7,0.0,0,0.0,3.0274832,0.7568708,3.3626666666666667,3.0,0.5,0,available,none,,6.5,0.46576664997981143,46.57666499798114
299,Iliman Ndiaye,Iliman,Ndiaye,Everton,Midfielder,65,11.1,0.0,114,3.0,3.0192945,0.7548236,3.1746,2.75,0.5,4,available,none,,6.5,0.4645068462078388,46.450684620783875
21,Declan Rice,Declan,Rice,Arsenal,Midfielder,65,7.4,0.0,127,3.3421052631578947,2.9955995,0.7488999,2.2699824561403505,3.25,0.5,4,available,none,,6.5,0.4608614628131573,46.086146281315735
419,Jack Grealish,Jack,Grealish,Man City,Midfielder,65,0.1,0.0,38,1.0,2.9906344,0.7476586,1.1526666666666667,3.0,0.5,0,available,none,,6.5,0.4600976063654973,46.00976063654973
584,Mathys Tel,Mathys,Tel,Spurs,Midfielder,65,0.2,0.0,42,1.105263157894737,2.9906344,0.7476586,1.1973684210526316,3.0,0.5,0,available,none,,6.5,0.4600976063654973,46.00976063654973
157,Mitoma Kaoru,Mitoma,Kaoru,Brighton,Midfielder,65,5.9,0.0,145,3.8157894736842106,2.9757333,0.7439333,2.3484385964912278,3.25,0.5,4,available,none,,6.5,0.4578051200279823,45.78051200279823
416,Bernardo Mota Veiga de Carvalho e Silva,Bernardo,Mota Veiga de Carvalho e Silva,Man City,Midfielder,65,0.6,0.0,110,2.8947368421052633,2.9396143,0.7349036,1.957298245614035,3.0,0.5,0,available,none,,6.5,0.45224835322453427,45.22483532245343
420,İlkay Gündoğan,İlkay,Gündoğan,Man City,Midfielder,65,0.1,0.0,97,2.5526315789473686,2.9396143,0.7349036,1.8120175438596489,3.0,0.5,0,available,none,,6.5,0.45224835322453427,45.22483532245343
